filename,result,frame,conf
crop_0214_f00252_c0.56_55-56min.jpg,,00252,0.56
crop_0215_f00253_c0.57_55-56min.jpg,,00253,0.57
crop_0216_f00254_c0.54_55-56min.jpg,,00254,0.54
crop_0217_f00255_c0.55_55-56min.jpg,,00255,0.55
crop_0218_f00255_c0.44_55-56min.jpg,,00255,0.44
crop_0219_f00256_c0.61_55-56min.jpg,,00256,0.61
crop_0220_f00257_c0.62_55-56min.jpg,,00257,0.62
crop_0221_f00257_c0.37_55-56min.jpg,,00257,0.37
crop_0222_f00258_c0.64_55-56min.jpg,,00258,0.64
crop_0223_f00259_c0.65_55-56min.jpg,,00259,0.65
crop_0224_f00259_c0.52_55-56min.jpg,,00259,0.52
crop_0225_f00260_c0.72_55-56min.jpg,,00260,0.72
crop_0226_f00260_c0.66_55-56min.jpg,,00260,0.66
crop_0227_f00261_c0.67_55-56min.jpg,,00261,0.67
crop_0228_f00261_c0.66_55-56min.jpg,,00261,0.66
crop_0229_f00262_c0.66_55-56min.jpg,,00262,0.66
crop_0230_f00262_c0.63_55-56min.jpg,,00262,0.63
crop_0231_f00263_c0.67_55-56min.jpg,,00263,0.67
crop_0232_f00263_c0.57_55-56min.jpg,,00263,0.57
crop_0233_f00264_c0.67_55-56min.jpg,,00264,0.67
crop_0234_f00264_c0.59_55-56min.jpg,,00264,0.59
crop_0235_f00265_c0.67_55-56min.jpg,,00265,0.67
crop_0236_f00265_c0.41_55-56min.jpg,,00265,0.41
crop_0237_f00266_c0.67_55-56min.jpg,,00266,0.67
crop_0238_f00267_c0.66_55-56min.jpg,,00267,0.66
crop_0239_f00268_c0.65_55-56min.jpg,,00268,0.65
crop_0240_f00269_c0.64_55-56min.jpg,,00269,0.64
crop_0241_f00270_c0.63_55-56min.jpg,,00270,0.63
crop_0242_f00271_c0.58_55-56min.jpg,,00271,0.58
crop_0243_f00272_c0.53_55-56min.jpg,,00272,0.53
crop_0244_f00273_c0.48_55-56min.jpg,,00273,0.48
crop_0245_f00273_c0.42_55-56min.jpg,,00273,0.42
crop_0246_f00273_c0.39_55-56min.jpg,,00273,0.39
crop_0247_f00274_c0.58_55-56min.jpg,,00274,0.58
crop_0248_f00274_c0.47_55-56min.jpg,,00274,0.47
crop_0249_f00275_c0.62_55-56min.jpg,,00275,0.62
crop_0250_f00275_c0.43_55-56min.jpg,,00275,0.43
crop_0251_f00276_c0.44_55-56min.jpg,,00276,0.44
crop_0252_f00276_c0.37_55-56min.jpg,,00276,0.37
crop_0253_f00277_c0.44_55-56min.jpg,,00277,0.44
crop_0254_f00278_c0.46_55-56min.jpg,,00278,0.46
crop_0255_f00278_c0.42_55-56min.jpg,,00278,0.42
crop_0256_f00279_c0.36_55-56min.jpg,,00279,0.36
crop_0257_f00280_c0.46_55-56min.jpg,,00280,0.46
crop_0258_f00280_c0.35_55-56min.jpg,,00280,0.35
crop_0259_f00287_c0.40_55-56min.jpg,,00287,0.40
crop_0260_f00287_c0.40_55-56min.jpg,,00287,0.40
crop_0261_f00287_c0.37_55-56min.jpg,,00287,0.37
crop_0262_f00289_c0.36_55-56min.jpg,,00289,0.36
crop_0263_f00291_c0.44_55-56min.jpg,,00291,0.44
crop_0264_f00292_c0.51_55-56min.jpg,,00292,0.51
crop_0265_f00293_c0.51_55-56min.jpg,,00293,0.51
crop_0266_f00293_c0.42_55-56min.jpg,,00293,0.42
